#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2020-12-27 22:58:24 EST     (caww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01593500 LITTLE PATUXENT RIVER AT GUILFORD, MD
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01593500	1	1932-05-03 02:50:00	EDT	Yes	LLH	USGS	1.96	25.2	Unspecified	0.00	0.80	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	25.2	28.0	37.6	0.67	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	2	1932-05-13 11:30:00	EDT	Yes	MTT	USGS	4.80	308	Unspecified	-0.10	1.00	Clear	NONE	1	Imported Channel 1	CRAN	unspe	unkno	308	37.0	136	2.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	3	1932-06-09 10:25:00	EDT	Yes	WRE	USGS	1.70	11.4	Unspecified	0.00	0.60	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	11.4	21.5	14.2	0.80	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	4	1932-07-22 02:00:00	EDT	Yes	WRE	USGS	1.84	18.9	Unspecified	-0.01	0.80	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	18.9	24.2	27.7	0.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	5	1932-07-30 13:05:00	EDT	Yes	WRE	USGS	1.57	6.08	Unspecified	-0.01	0.60	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	6.08	16.0	12.0	0.51	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	6	1932-08-31 12:10:00	EDT	Yes	MTT	USGS	1.48	4.18	Good	0.00	0.20	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	4.18	4.80	4.07	1.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	7	1932-10-06 02:10:00	EST	Yes	WRE	USGS	3.36	122	Unspecified	-0.16	0.70	Clear	NONE	1	Imported Channel 1	CRAN	unspe	unkno	122	36.0	80.1	1.52	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	8	1932-12-01 11:45:00	EST	Yes	WRE	USGS	1.89	22.0	Good	0.00	0.50	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	22.0	23.0	21.3	1.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	9	1933-01-26 03:00:00	EST	Yes	FMV	USGS	5.37	362	Fair	-0.05	0.70	Clear	NONE	1	Imported Channel 1	CRAN	unspe	unkno	362	36.0	145	2.50	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	11	1933-01-27		Yes	MTT	USGS	2.65	68.2	Unspecified	-0.02	0.90	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	68.2	34.0	51.2	1.33	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
