Z02482550                       USGS 
H02482550       3242260893135002828079SW031800011346   1346    315.24           
N02482550       PEARL RIVER NR CARTHAGE, MS
Y02482550       
302482550       1874                          24.20  Bm                  
302482550       1900                          25.60  Bm                  
302482550       1902                          27.00  Bm                  
302482550       1932                          24.30  Bm                  
302482550       19380411  19000               23.30                      
302482550       19390211   9400               18.20                      
302482550       19611220  31900               25.40                      
302482550       19630316   2260               12.09                      
302482550       19640319  18200               23.12                      
302482550       19650216  14000               22.27                      
302482550       19660217  12500               21.88                      
302482550       19670528   4320               15.20                      
302482550       19671220  15800               22.64                      
302482550       19690415  23600               24.02                      
302482550       19700325  11500               21.53                      
302482550       19710516  17700               23.02                      
302482550       19720114  21300               23.63                      
302482550       19730318  18300               23.14                      
302482550       19740416  29400               24.54                      
302482550       19750315  18100               22.92                      
302482550       19760331  26300               24.02                      
302482550       19770407  29900               24.28                      
302482550       19780513  10400               20.43                      
302482550       19790414 102000               28.74    1874              
302482550       19800416  31900               24.09                      
302482550       19810405  16600               22.14                      
302482550       19820426  10200               19.67                      
302482550       19830522  69500               27.07                      
302482550       19840508  10700               19.90                      
302482550       19850207  10400               19.82                      
302482550       19860322   60002                                         
302482550       19870303  21600               23.05                      
302482550       19880406   5160               15.58                      
302482550       19890115  14700               21.56                      
302482550       19900219  28400               23.79                      
302482550       19910502  32900               24.48                      
302482550       19920226   4140               14.22                      
302482550       19930117  11500               19.33                      
302482550       19940202  18000               21.00   2             21.77
302482550       19950427  16100               21.76                      
302482550       19960131  22500               23.18                      
302482550       19970217  10700               20.08                      
302482550       19980112  13500               21.35                      
302482550       19990203  22400               23.32                      
302482550       20000408  19900               23.26                      
302482550       20010406  20500               23.06                      
302482550       20020928   6980               17.48                      
302482550       20030225  35600               24.76                      
302482550       20040210  22200               23.30                      
302482550       20041213  15900               22.09                      
302482550       20060301  12300               20.72                      
302482550       20070108   7890               17.43                      
302482550       20080305   5100               14.61                      
302482550       20081216  14400               21.60                      
302482550       20091016  11600               20.40                      
302482550       20110314  13000               20.78                      
302482550       20120327  16000               21.56                      
302482550       20130119  21100               23.14                      
302482550       20140410  27600               23.96                      
302482550       20150301   6760               16.72                      
302482550       20160315  21500               23.20                      
302482550       20170408   9840               19.58                      
302482550       20180408   8220               18.34                      
302482550       20190106  15700               22.05                      
302482550       20200214  58700               26.45                      
