Z01387450                       USGS 
H01387450       4108280740658003634087SW0203010312.3           321.57           
N01387450       Mahwah River near Suffern NY
Y01387450       
301387450       19590306    291                                          
301387450       19600819    462                                          
301387450       19610226    334                5.03                      
301387450       19620312    403                5.46                      
301387450       19621110    211                4.13                      
301387450       19640109    233                4.30                      
301387450       19650208    300                4.80                      
301387450       19651008    274                4.61                      
301387450       19661103    233                4.30                      
301387450       19680529   1650                7.78                      
301387450       19690325    490                5.10                      
301387450       19700402    746                5.99                      
301387450       19710828   1520                7.56                      
301387450       19720630    580                5.53                      
301387450       19730202   1220                7.04                      
301387450       19731221    960                6.60                      
301387450       19750714    473                5.23                      
301387450       19760630    425                5.06                      
301387450       19770225    668                6.01                      
301387450       19771108   1840                9.91                      
301387450       19790125    780                5.80                      
301387450       19800410    966                6.39                      
301387450       19810512    644                5.40                      
301387450       19820104    411                4.77                      
301387450       19830319    683                5.51                      
301387450       19840405   1310                7.49                      
301387450       19850927    555                5.14                      
301387450       19860803    630                5.36                      
301387450       19870404   1070                6.71                      
301387450       19871028    640                5.39                      
301387450       19890517    818                5.91                      
301387450       19900807    542                5.10                      
301387450       19910304    539                5.09                      
301387450       19920606    301                4.18                      
301387450       19921123    413                4.64                      
301387450       19931128    746                5.70                      
301387450       19950120    342                4.36                      
301387450       19960119   1120                6.87                      
301387450       19961020    562                5.22                      
301387450       19980511    351                4.59                      
301387450       19990916                       9.67   1                  
301387450       20000514                       3.52                      
301387450       20010623    809                5.83                      
301387450       20020513    215                3.77                      
301387450       20030928    517                5.33                      
301387450       20040918    531                5.39                      
301387450       20050403    894                5.99                      
301387450       20051008   1590                7.11                      
301387450       20070416   1510                7.00                      
301387450       20071224    670                5.54                      
301387450       20081212    487                5.11                      
301387450       20100314   1670                7.23                      
301387450       20110828   3700               10.66                      
301387450       20111208    483                5.06                      
301387450       20121221    652                5.28                      
301387450       20140501    549                5.00                      
301387450       20150601    414                4.58                      
301387450       20160225    727                5.55                      
301387450       20170707    574                5.16                      
301387450       20180416    710                5.51                      
301387450       20181221    568                5.51                      
301387450       20191017    206                4.09                      
